,EV6,EV5,EV4,EV3,EV2,EV1,time,feeder_load
51,200.0,200.0,200.0,200.0,200.0,200.0,4.25,2752604.015165041
52,200.0,200.0,200.0,200.0,200.0,200.0,4.333333333333333,2737224.5249257116
53,200.0,200.0,200.0,200.0,200.0,200.0,4.416666666666667,2757335.2089258516
54,200.0,200.0,200.0,200.0,200.0,200.0,4.5,2766591.2015303858
55,200.0,200.0,200.0,200.0,200.0,200.0,4.583333333333333,2767549.683079062
56,200.0,200.0,200.0,200.0,200.0,200.0,4.666666666666667,2762983.3033865523
57,200.0,200.0,200.0,200.0,200.0,200.0,4.75,2746058.748255945
58,200.0,200.0,200.0,200.0,200.0,200.0,4.833333333333333,2759778.580231041
59,200.0,200.0,200.0,200.0,200.0,200.0,4.916666666666667,2784552.567805126
60,200.0,200.0,200.0,200.0,200.0,200.0,5.0,2786640.680646041
61,200.0,200.0,200.0,200.0,200.0,200.0,5.083333333333333,2768148.416221429
62,200.0,200.0,200.0,200.0,200.0,200.0,5.166666666666667,2775760.2895271713
63,200.0,200.0,200.0,200.0,200.0,200.0,5.25,2780831.493465586
64,200.0,200.0,200.0,200.0,200.0,200.0,5.333333333333333,2781006.920118277
65,200.0,200.0,200.0,200.0,200.0,200.0,5.416666666666667,2793336.0752771287
66,200.0,200.0,200.0,200.0,200.0,200.0,5.5,2806428.2895859936
67,200.0,200.0,200.0,200.0,200.0,200.0,5.583333333333333,2819625.1911974633
68,200.0,200.0,200.0,200.0,200.0,200.0,5.666666666666667,2799140.8620907683
69,200.0,200.0,200.0,200.0,200.0,200.0,5.75,2796063.234628664
70,200.0,200.0,200.0,200.0,200.0,200.0,5.833333333333333,2811686.392932629
71,200.0,200.0,200.0,200.0,200.0,200.0,5.916666666666667,2827913.5014188974
72,200.0,200.0,200.0,200.0,200.0,200.0,6.0,2846063.8456895784
73,200.0,200.0,200.0,200.0,200.0,200.0,6.083333333333333,2868808.680692577
74,200.0,200.0,200.0,200.0,200.0,200.0,6.166666666666667,2880340.180205171
75,200.0,200.0,200.0,200.0,200.0,200.0,6.25,2892218.6506585544
76,200.0,200.0,200.0,200.0,200.0,200.0,6.333333333333333,2905571.119608122
77,200.0,200.0,200.0,200.0,200.0,200.0,6.416666666666667,2914798.355494028
78,200.0,200.0,200.0,200.0,200.0,200.0,6.5,2894286.4669719934
79,200.0,200.0,200.0,200.0,200.0,200.0,6.583333333333333,2910472.0794480294
80,200.0,200.0,200.0,200.0,200.0,200.0,6.666666666666667,2930081.157579736
81,200.0,200.0,200.0,200.0,200.0,200.0,6.75,2935720.167446627
82,200.0,200.0,200.0,200.0,200.0,200.0,6.833333333333333,2959744.789563122
83,200.0,200.0,200.0,200.0,200.0,200.0,6.916666666666667,2958045.389776217
84,200.0,200.0,200.0,200.0,200.0,200.0,7.0,2970710.5360028306
85,200.0,200.0,200.0,200.0,200.0,200.0,7.083333333333333,3042221.0353983166
86,200.0,200.0,200.0,200.0,200.0,200.0,7.166666666666667,3052841.2193246298
87,200.0,200.0,200.0,200.0,200.0,200.0,7.25,3037821.6732511465
88,200.0,200.0,200.0,200.0,200.0,200.0,7.333333333333333,3051184.6474224622
89,200.0,200.0,200.0,200.0,200.0,200.0,7.416666666666667,3088508.6460170336
90,200.0,200.0,200.0,200.0,200.0,200.0,7.5,3122494.5717040803
91,200.0,200.0,200.0,200.0,200.0,200.0,7.583333333333333,3109314.482620835
92,200.0,200.0,200.0,200.0,200.0,200.0,7.666666666666667,3150854.542356151
93,200.0,200.0,200.0,200.0,200.0,200.0,7.75,3174659.167259752
94,200.0,200.0,200.0,200.0,200.0,200.0,7.833333333333333,3192336.837730021
95,200.0,200.0,200.0,200.0,200.0,200.0,7.916666666666667,3221060.8096451145
96,200.0,200.0,200.0,200.0,200.0,200.0,8.0,3227057.692379823
97,200.0,200.0,200.0,200.0,200.0,200.0,8.083333333333334,3269031.706896967
98,200.0,200.0,200.0,200.0,200.0,200.0,8.166666666666666,3281125.2669385048
99,200.0,200.0,200.0,200.0,200.0,200.0,8.25,3307200.7281288262
100,200.0,200.0,200.0,200.0,200.0,200.0,8.333333333333334,3378753.4459237373
101,200.0,200.0,200.0,200.0,200.0,200.0,8.416666666666666,3437970.1454472058
102,200.0,200.0,200.0,200.0,200.0,200.0,8.5,3442523.8825289398
103,200.0,200.0,200.0,200.0,200.0,200.0,8.583333333333334,3459876.503534274
104,200.0,200.0,200.0,200.0,200.0,200.0,8.666666666666666,3480738.6933967522
105,200.0,200.0,200.0,200.0,200.0,200.0,8.75,3474791.611711388
106,200.0,200.0,200.0,200.0,200.0,200.0,8.833333333333334,3544806.1747494293
107,200.0,200.0,200.0,200.0,200.0,200.0,8.916666666666666,3565050.4199970765
108,200.0,200.0,200.0,200.0,200.0,200.0,9.0,3593293.9025946176
109,200.0,200.0,200.0,200.0,200.0,200.0,9.083333333333334,3643822.9573864583
110,200.0,200.0,200.0,200.0,200.0,200.0,9.166666666666666,3609212.8363541663
111,200.0,200.0,200.0,200.0,200.0,200.0,9.25,3636087.6158459317
112,200.0,200.0,200.0,200.0,200.0,200.0,9.333333333333334,3688455.9711318053
113,200.0,200.0,200.0,200.0,200.0,200.0,9.416666666666666,3673469.331684363
114,200.0,200.0,200.0,200.0,200.0,200.0,9.5,3752056.2396339737
115,200.0,200.0,200.0,200.0,200.0,200.0,9.583333333333334,3778024.904171759
116,200.0,200.0,200.0,200.0,200.0,200.0,9.666666666666666,3679611.462157636
117,200.0,200.0,200.0,200.0,200.0,200.0,9.75,3750591.7570335185
118,200.0,200.0,200.0,200.0,200.0,200.0,9.833333333333334,3847238.958320557
119,200.0,200.0,200.0,200.0,200.0,200.0,9.916666666666666,3886765.3143337974
120,200.0,200.0,200.0,200.0,200.0,200.0,10.0,3884020.4710961943
121,200.0,200.0,200.0,200.0,200.0,200.0,10.083333333333334,3848141.4973410643
122,200.0,200.0,200.0,200.0,200.0,200.0,10.166666666666666,3867425.725865963
123,200.0,200.0,200.0,200.0,200.0,200.0,10.25,3926456.114759852
124,200.0,200.0,200.0,200.0,200.0,200.0,10.333333333333334,3958936.3228505338
125,200.0,200.0,200.0,200.0,200.0,200.0,10.416666666666666,3958497.3507437054
126,200.0,200.0,200.0,200.0,200.0,200.0,10.5,3960763.87013358
127,200.0,200.0,200.0,200.0,200.0,200.0,10.583333333333334,3936340.9828431737
128,200.0,200.0,200.0,200.0,200.0,200.0,10.666666666666666,4108962.9420024147
129,0.0,200.0,200.0,200.0,200.0,200.0,10.75,3915442.007512904
130,0.0,200.0,200.0,200.0,200.0,200.0,10.833333333333334,3848083.9600915452
131,0.0,200.0,200.0,200.0,200.0,200.0,10.916666666666666,3888187.900197844
132,0.0,200.0,200.0,200.0,200.0,200.0,11.0,3931421.937089406
133,0.0,200.0,200.0,200.0,200.0,200.0,11.083333333333334,3918109.7927768338
134,0.0,200.0,200.0,200.0,200.0,200.0,11.166666666666666,3903387.3390069716
135,0.0,200.0,200.0,200.0,200.0,200.0,11.25,3943117.2561489386
136,0.0,200.0,200.0,200.0,200.0,200.0,11.333333333333334,4067913.2121272692
137,0.0,0.0,200.0,200.0,200.0,200.0,11.416666666666666,3892764.09941761
138,0.0,0.0,200.0,200.0,200.0,200.0,11.5,3860569.775804283
139,0.0,0.0,200.0,200.0,200.0,200.0,11.583333333333334,3876009.603490422
140,0.0,0.0,200.0,200.0,200.0,200.0,11.666666666666666,3841844.0576326824
141,0.0,0.0,200.0,200.0,200.0,200.0,11.75,3901356.846849985
142,0.0,0.0,200.0,200.0,200.0,200.0,11.833333333333334,3996596.491137759
143,0.0,0.0,200.0,200.0,200.0,200.0,11.916666666666666,4007963.6458923435
144,0.0,0.0,0.0,200.0,200.0,200.0,12.0,3790579.88627772
145,0.0,0.0,0.0,200.0,200.0,200.0,12.083333333333334,3791847.7307478245
146,0.0,0.0,0.0,200.0,200.0,200.0,12.166666666666666,3812324.6094062654
147,0.0,0.0,0.0,200.0,200.0,200.0,12.25,3845115.7248908947
148,0.0,0.0,0.0,200.0,200.0,200.0,12.333333333333334,3944849.7689860137
149,0.0,0.0,0.0,200.0,200.0,200.0,12.416666666666666,3902372.678388428
150,0.0,0.0,0.0,200.0,200.0,200.0,12.5,4005398.181053225
151,0.0,0.0,0.0,0.0,200.0,200.0,12.583333333333334,3805392.740756348
152,0.0,0.0,0.0,0.0,200.0,200.0,12.666666666666666,3790853.455078467
153,0.0,0.0,0.0,0.0,200.0,200.0,12.75,3819585.193266321
154,0.0,0.0,0.0,0.0,200.0,200.0,12.833333333333334,3865413.053767925
155,0.0,0.0,0.0,0.0,200.0,200.0,12.916666666666666,3916278.5617811657
156,0.0,0.0,0.0,0.0,200.0,200.0,13.0,3935323.79944989
157,0.0,0.0,0.0,0.0,200.0,200.0,13.083333333333334,3922143.3660849743
158,0.0,0.0,0.0,0.0,200.0,200.0,13.166666666666666,3989417.8617802225
159,0.0,0.0,0.0,0.0,200.0,200.0,13.25,3929537.326239824
160,0.0,0.0,0.0,0.0,200.0,200.0,13.333333333333334,3913165.03469445
161,0.0,0.0,0.0,0.0,200.0,200.0,13.416666666666666,4020390.734387837
162,0.0,0.0,0.0,0.0,0.0,200.0,13.5,3737967.513195657
163,0.0,0.0,0.0,0.0,0.0,200.0,13.583333333333334,3643438.6243832614
164,0.0,0.0,0.0,0.0,0.0,200.0,13.666666666666666,3768621.8011022103
165,0.0,0.0,0.0,0.0,0.0,200.0,13.75,3866248.946896006
166,0.0,0.0,0.0,0.0,0.0,200.0,13.833333333333334,3811556.552923832
