E_Type,TimeStamp,TimeInterval,Record,MarginalPrice,Power,PowerUncertainty,Cost,ReactivePower,ReactivePowerUncertainty,Voltage,VoltageUncertainty
41,2017-01-18 01:00:00,20170118T030000,0,18.547111778194868,176.28533763889945,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T030000,1,16.547111778194868,15.399896741950393,0,0.0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T030000,2,20.547111778194875,940.6866165626648,0,0.0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T040000,0,18.453896490655513,190.7292955207207,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T040000,1,16.453896490655513,19.316324979152604,0,0.0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T040000,2,20.453896490655513,964.2610747897614,0,0.0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T050000,0,18.39713965641307,213.93162427370245,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T050000,1,16.39713965641307,24.88433361828968,0,0.0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T050000,2,20.397139656413067,998.2066042983828,0,0.0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T060000,0,20.303961043355656,1409.63912277162,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T060000,1,18.303961043355656,986.3247550698928,0,479.42761360602816,0,0,0,0 
41,2017-01-18 01:00:00,20170118T060000,2,22.303961043355656,1410.6704947580185,0,479.42761360602816,0,0,0,0 
41,2017-01-18 01:00:00,20170118T070000,0,20.728042716318246,1404.6466128521038,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T070000,1,18.728042716318246,720.8506853923308,0,958.855227212058,0,0,0,0 
41,2017-01-18 01:00:00,20170118T070000,2,22.72804271631825,1415.098663164914,0,958.8552272120563,0,0,0,0 
41,2017-01-18 01:00:00,20170118T080000,0,21.032589620571695,1025.2647993575579,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T080000,1,19.03258962057169,500.6624640957317,0,4554.562329257257,0,0,0,0 
41,2017-01-18 01:00:00,20170118T080000,2,23.03258962057169,1421.5092665060426,0,4554.562329257274,0,0,0,0 
41,2017-01-18 01:00:00,20170118T090000,0,21.021826801654584,749.511480718072,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T090000,1,19.021826801654584,292.6428126357922,0,4554.562329257265,0,0,0,0 
41,2017-01-18 01:00:00,20170118T090000,2,23.021826801654584,1385.7305687697483,0,4554.562329257265,0,0,0,0 
41,2017-01-18 01:00:00,20170118T100000,0,21.082342069317704,544.1524700465071,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T100000,1,19.082342069317708,208.29415350339067,0,4554.562329257282,0,0,0,0 
41,2017-01-18 01:00:00,20170118T100000,2,23.08234206931771,1268.3463988328326,0,4554.562329257257,0,0,0,0 
41,2017-01-18 01:00:00,20170118T110000,0,21.22376865544356,471.0379914472524,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T110000,1,19.223768655443557,165.77361003584954,0,4554.562329257257,0,0,0,0 
41,2017-01-18 01:00:00,20170118T110000,2,23.223768655443557,1277.9931176537223,0,4554.562329257274,0,0,0,0 
41,2017-01-18 01:00:00,20170118T120000,0,21.21168643999237,511.8449340466535,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T120000,1,19.211686439992373,177.59572744902118,0,2397.1380680301318,0,0,0,0 
41,2017-01-18 01:00:00,20170118T120000,2,23.211686439992363,1271.8086205867774,0,2397.1380680301363,0,0,0,0 
41,2017-01-18 01:00:00,20170118T130000,0,21.325878116844038,394.8802649333354,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T130000,1,19.325878116844034,129.07795156852583,0,4554.562329257265,0,0,0,0 
41,2017-01-18 01:00:00,20170118T130000,2,23.325878116844038,1235.0247427134032,0,4554.562329257274,0,0,0,0 
41,2017-01-18 01:00:00,20170118T140000,0,21.29907702676843,289.74974837132436,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T140000,1,19.299077026768426,55.78801553117066,0,4554.562329257257,0,0,0,0 
41,2017-01-18 01:00:00,20170118T140000,2,23.299077026768426,1138.641509400122,0,4554.562329257274,0,0,0,0 
41,2017-01-18 01:00:00,20170118T150000,0,21.31832474494078,242.91178688248198,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T150000,1,19.31832474494078,60.92188263746773,0,4554.562329257282,0,0,0,0 
41,2017-01-18 01:00:00,20170118T150000,2,23.31832474494079,1088.4893391427424,0,4554.562329257265,0,0,0,0 
41,2017-01-18 01:00:00,20170118T160000,0,21.220400041719408,271.85275271523165,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T160000,1,19.220400041719415,77.95796413014394,0,4554.562329257282,0,0,0,0 
41,2017-01-18 01:00:00,20170118T160000,2,23.220400041719415,1119.7527459448445,0,4554.562329257249,0,0,0,0 
41,2017-01-18 01:00:00,20170118T170000,0,21.044222539508915,379.17400762538495,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T170000,1,19.044222539508915,99.38509346132686,0,3355.99329524219,0,0,0,0 
41,2017-01-18 01:00:00,20170118T170000,2,23.04422253950891,1211.246372066795,0,3355.993295242196,0,0,0,0 
41,2017-01-18 01:00:00,20170118T180000,0,21.016541388447266,660.5238767911327,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T180000,1,19.016541388447266,254.20381857697788,0,1917.710454424116,0,0,0,0 
41,2017-01-18 01:00:00,20170118T180000,2,23.01654138844727,1351.130500207994,0,1917.7104544241126,0,0,0,0 
41,2017-01-18 01:00:00,20170118T190000,0,21.021211336590348,733.423684362228,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T190000,1,19.021211336590348,326.4999527441499,0,1917.7104544241058,0,0,0,0 
41,2017-01-18 01:00:00,20170118T190000,2,23.02121133659034,1386.1639465385756,0,1917.7104544241126,0,0,0,0 
41,2017-01-18 01:00:00,20170118T200000,0,21.021652535928435,869.0568405524346,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T200000,1,19.02165253592843,445.43027329339253,0,479.4276136060273,0,0,0,0 
41,2017-01-18 01:00:00,20170118T200000,2,23.021652535928432,1404.2373892644787,0,479.42761360602987,0,0,0,0 
41,2017-01-18 01:00:00,20170118T210000,0,21.01482296025419,905.7317143961686,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T210000,1,19.01482296025418,481.8246368315845,0,479.4276136060273,0,0,0,0 
41,2017-01-18 01:00:00,20170118T210000,2,23.014822960254186,1409.0998033172643,0,479.4276136060307,0,0,0,0 
41,2017-01-18 01:00:00,20170118T220000,0,20.17519671534203,1.8176354468359297,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T220000,1,18.175196715342032,1.8176354468359297,0,239.7138068030145,0,0,0,0 
41,2017-01-18 01:00:00,20170118T220000,2,22.175196715342032,772.7144876195913,0,239.71380680301365,0,0,0,0 
41,2017-01-18 01:00:00,20170118T230000,0,19.83069492406854,1.8138181224873733,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T230000,1,17.830694924068542,1.8138181224873733,0,239.71380680301493,0,0,0,0 
41,2017-01-18 01:00:00,20170118T230000,2,21.830694924068546,801.3424706081133,0,239.71380680301365,0,0,0,0 
41,2017-01-18 01:00:00,20170119T000000,0,19.577741307820926,20.046085102201673,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170119T000000,1,17.57774130782092,1.8176354468359297,0,0.0,0,0,0,0 
41,2017-01-18 01:00:00,20170119T000000,2,21.577741307820922,796.9883693730707,0,0.0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T010000,0,19.1392864497078,0.0,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T010000,1,17.139286449707804,6.160232086481692,0,0.0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T010000,2,21.1392864497078,3.5515364108560434,0,0.0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T020000,0,18.68570988536153,1.6415527412667361,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T020000,1,16.685709885361533,5.996233628331845,0,0.0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T020000,2,20.68570988536153,3.694685314282381,0,0.0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T030000,0,18.547111778194868,1.619059345974767,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T030000,1,16.547111778194868,5.87177344093298,0,0.0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T030000,2,20.547111778194875,3.6930199995784063,0,0.0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T040000,0,18.453896490655513,1.6025907534385424,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T040000,1,16.453896490655513,5.8174764094502,0,0.0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T040000,2,20.453896490655513,3.69919569383413,0,0.0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T050000,0,18.39713965641307,1.6017885617229968,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T050000,1,16.39713965641307,5.753525185365832,0,0.0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T050000,2,20.397139656413067,3.744645131257543,0,0.0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T060000,0,20.303961043355656,4.219231058588119,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T060000,1,18.303961043355656,9.941390055244364,0,479.42761360602816,0,0,0,0 
42,2017-01-18 01:00:00,20170118T060000,2,22.303961043355656,4.360798446731961,0,479.42761360602816,0,0,0,0 
42,2017-01-18 01:00:00,20170118T070000,0,20.728042716318246,4.321872923558731,0,0,0,0,0,0 
